XYDATA,sample11.jws
300.0000,843.569
300.1000,829.756
300.2000,816.422
300.3000,803.641
300.4000,790.809
300.5000,778.295
300.6000,766.031
300.7000,754.02
300.8000,742.322
300.9000,731.255
301.0000,720.041
301.1000,709.235
301.2000,698.659
301.3000,688.534
301.4000,678.289
301.5000,668.345
301.6000,658.742
301.7000,649.399
301.8000,640.17
301.9000,631.019
302.0000,622.284
302.1000,613.823
302.2000,605.402
302.3000,597.163
302.4000,589.038
302.5000,581.09
302.6000,573.549
302.7000,565.949
302.8000,558.65
302.9000,551.528
303.0000,544.589
303.1000,537.743
303.2000,530.879
303.3000,524.333
303.4000,517.776
303.5000,511.408
303.6000,505.156
303.7000,499.097
303.8000,493.049
303.9000,487.108
304.0000,481.395
304.1000,475.598
304.2000,469.967
304.3000,464.448
304.4000,459.117
304.5000,453.821
304.6000,448.797
304.7000,443.843
304.8000,438.89
304.9000,434.014
305.0000,429.159
305.1000,424.544
305.2000,420.049
305.3000,415.571
305.4000,411.153
305.5000,406.75
305.6000,402.523
305.7000,398.443
305.8000,394.237
305.9000,390.269
306.0000,386.291
306.1000,382.395
306.2000,378.505
306.3000,374.678
306.4000,371.068
306.5000,367.451
306.6000,363.767
306.7000,360.246
306.8000,356.729
306.9000,353.325
307.0000,350.013
307.1000,346.713
307.2000,343.474
307.3000,340.354
307.4000,337.338
307.5000,334.379
307.6000,331.363
307.7000,328.474
307.8000,325.63
307.9000,322.727
308.0000,319.939
308.1000,317.223
308.2000,314.531
308.3000,311.841
308.4000,309.18
308.5000,306.575
308.6000,304.086
308.7000,301.625
308.8000,299.166
308.9000,296.796
309.0000,294.461
309.1000,292.085
309.2000,289.81
309.3000,287.518
309.4000,285.294
309.5000,283.136
309.6000,280.998
309.7000,278.896
309.8000,276.887
309.9000,274.831
310.0000,272.845
310.1000,270.896
310.2000,268.964
310.3000,267.088
310.4000,265.176
310.5000,263.289
310.6000,261.443
310.7000,259.635
310.8000,257.89
310.9000,256.157
311.0000,254.41
311.1000,252.764
311.2000,251.113
311.3000,249.459
311.4000,247.898
311.5000,246.294
311.6000,244.73
311.7000,243.198
311.8000,241.653
311.9000,240.17
312.0000,238.731
312.1000,237.28
312.2000,235.837
312.3000,234.484
312.4000,233.068
312.5000,231.72
312.6000,230.4
312.7000,229.021
312.8000,227.684
312.9000,226.33
313.0000,225.081
313.1000,223.849
313.2000,222.595
313.3000,221.336
313.4000,220.135
313.5000,218.961
313.6000,217.795
313.7000,216.618
313.8000,215.468
313.9000,214.335
314.0000,213.158
314.1000,212.037
314.2000,210.96
314.3000,209.868
314.4000,208.807
314.5000,207.777
314.6000,206.744
314.7000,205.742
314.8000,204.746
314.9000,203.734
315.0000,202.779
315.1000,201.805
315.2000,200.817
315.3000,199.847
315.4000,198.957
315.5000,197.961
315.6000,197.065
315.7000,196.174
315.8000,195.299
315.9000,194.48
316.0000,193.639
316.1000,192.796
316.2000,191.939
316.3000,191.079
316.4000,190.253
316.5000,189.419
316.6000,188.607
316.7000,187.805
316.8000,187.036
316.9000,186.311
317.0000,185.538
317.1000,184.783
317.2000,184.106
317.3000,183.383
317.4000,182.66
317.5000,181.966
317.6000,181.274
317.7000,180.564
317.8000,179.839
317.9000,179.173
318.0000,178.489
318.1000,177.852
318.2000,177.174
318.3000,176.541
318.4000,175.895
318.5000,175.274
318.6000,174.601
318.7000,173.995
318.8000,173.366
318.9000,172.757
319.0000,172.151
319.1000,171.567
319.2000,170.967
319.3000,170.415
319.4000,169.843
319.5000,169.293
319.6000,168.748
319.7000,168.224
319.8000,167.686
319.9000,167.182
320.0000,166.655
320.1000,166.123
320.2000,165.63
320.3000,165.13
320.4000,164.615
320.5000,164.122
320.6000,163.654
320.7000,163.166
320.8000,162.695
320.9000,162.218
321.0000,161.765
321.1000,161.283
321.2000,160.808
321.3000,160.344
321.4000,159.927
321.5000,159.451
321.6000,159.012
321.7000,158.592
321.8000,158.188
321.9000,157.791
322.0000,157.368
322.1000,156.954
322.2000,156.522
322.3000,156.084
322.4000,155.667
322.5000,155.271
322.6000,154.882
322.7000,154.495
322.8000,154.108
322.9000,153.746
323.0000,153.392
323.1000,153.009
323.2000,152.635
323.3000,152.25
323.4000,151.836
323.5000,151.445
323.6000,151.117
323.7000,150.77
323.8000,150.414
323.9000,150.057
324.0000,149.707
324.1000,149.374
324.2000,149.063
324.3000,148.73
324.4000,148.413
324.5000,148.068
324.6000,147.749
324.7000,147.436
324.8000,147.147
324.9000,146.8
325.0000,146.49
325.1000,146.203
325.2000,145.915
325.3000,145.587
325.4000,145.295
325.5000,145.012
325.6000,144.743
325.7000,144.455
325.8000,144.165
325.9000,143.86
326.0000,143.597
326.1000,143.287
326.2000,142.997
326.3000,142.728
326.4000,142.46
326.5000,142.219
326.6000,141.999
326.7000,141.783
326.8000,141.486
326.9000,141.215
327.0000,140.954
327.1000,140.718
327.2000,140.444
327.3000,140.211
327.4000,139.947
327.5000,139.71
327.6000,139.484
327.7000,139.252
327.8000,138.999
327.9000,138.781
328.0000,138.542
328.1000,138.334
328.2000,138.112
328.3000,137.886
328.4000,137.666
328.5000,137.479
328.6000,137.275
328.7000,137.066
328.8000,136.858
328.9000,136.65
329.0000,136.473
329.1000,136.279
329.2000,136.082
329.3000,135.907
329.4000,135.715
329.5000,135.517
329.6000,135.321
329.7000,135.108
329.8000,134.91
329.9000,134.716
330.0000,134.544
330.1000,134.223
330.2000,134.066
330.3000,133.884
330.4000,133.722
330.5000,133.559
330.6000,133.379
330.7000,133.22
330.8000,133.033
330.9000,132.862
331.0000,132.692
331.1000,132.576
331.2000,132.41
331.3000,132.25
331.4000,132.079
331.5000,131.909
331.6000,131.786
331.7000,131.611
331.8000,131.434
331.9000,131.303
332.0000,131.143
332.1000,130.972
332.2000,130.846
332.3000,130.687
332.4000,130.538
332.5000,130.422
332.6000,130.29
332.7000,130.136
332.8000,129.992
332.9000,129.846
333.0000,129.722
333.1000,129.576
333.2000,129.45
333.3000,129.314
333.4000,129.164
333.5000,129.014
333.6000,128.881
333.7000,128.74
333.8000,128.624
333.9000,128.492
334.0000,128.389
