TITLE,sample 2
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/11/14
TIME,15:19:07
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,TRANSMITTANCE
FIRSTX, 1400.0000
LASTX,  300.0000
NPOINTS,   11001
FIRSTY,     0.01558
MAXY,   123.49834
MINY,    -0.02685
XYDATA
1400.0000,0.0155814
1399.9000,0.0127615
1399.8000,0.016601
1399.7000,0.0176036
1399.6000,0.0201637
1399.5000,0.0271982
1399.4000,0.026887
1399.3000,0.0251885
1399.2000,0.0255485
1399.1000,0.0207849
1399.0000,0.020597
1398.9000,0.0183222
1398.8000,0.018915
1398.7000,0.0204762
1398.6000,0.0249636
1398.5000,0.0241877
1398.4000,0.0236211
1398.3000,0.0241075
1398.2000,0.0210225
1398.1000,0.0260299
1398.0000,0.0177145
1397.9000,0.0137194
1397.8000,0.0149397
1397.7000,0.0221472
1397.6000,0.0280046
1397.5000,0.0302637
1397.4000,0.0234195
1397.3000,0.0137032
1397.2000,0.0108281
1397.1000,0.00730746
1397.0000,0.0083664
1396.9000,0.00973843
1396.8000,0.0117285
1396.7000,0.0119315
1396.6000,0.0101118
1396.5000,0.0103469
1396.4000,0.00538567
1396.3000,0.00516077
1396.2000,0.00841254
1396.1000,0.00944135
1396.0000,0.00723001
1395.9000,0.0126735
1395.8000,0.0138826
1395.7000,0.0119619
1395.6000,0.00598346
1395.5000,0.00992857
1395.4000,-0.00135263
1395.3000,0.000136662
1395.2000,2.59195E-05
1395.1000,-0.00718092
1395.0000,-0.00012508
1394.9000,-0.00141024
1394.8000,-0.00335029
1394.7000,-0.00135333
1394.6000,-0.011021
1394.5000,-0.0161686
1394.4000,-0.0197804
1394.3000,-0.01645
1394.2000,-0.0114647
1394.1000,-0.00295203
1394.0000,-0.00520527
1393.9000,-0.00427906
1393.8000,-0.0104575
1393.7000,-0.0116432
1393.6000,-0.0150785
1393.5000,-0.0122517
1393.4000,-0.0124541
1393.3000,-0.0242761
1393.2000,-0.0229206
1393.1000,-0.0268502
1393.0000,-0.0255811
1392.9000,-0.0238884
1392.8000,-0.0208445
1392.7000,-0.0229989
1392.6000,-0.0247887
1392.5000,-0.0234921
1392.4000,-0.0170795
1392.3000,-0.0182685
1392.2000,-0.0149881
1392.1000,-0.0140991
1392.0000,-0.0137214
1391.9000,-0.0084261
1391.8000,-0.0171994
1391.7000,-0.018262
1391.6000,-0.0137364
1391.5000,-0.0126942
1391.4000,-0.00603502
1391.3000,0.00240974
1391.2000,0.00486928
1391.1000,0.00993021
1391.0000,0.0108543
1390.9000,0.00221783
1390.8000,0.00246447
1390.7000,0.00184641
1390.6000,0.0110152
1390.5000,0.016055
1390.4000,0.0232294
1390.3000,0.0173066
